code,file_size,pricesens,link,time,notices,pages
BBU,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
AAA,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
HEU,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
HJP,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
FOO,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
FUE,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
BNK,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
DRU,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
MNR,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
USD,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
YMA,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
UMA,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
QFN,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
GEA,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
QRE,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
SML,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
ETH,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
QPO,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
HAC,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
EX2,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
AUD,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
YAN,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
HBR,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
FAI,245.2KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942916,22/01/2018 2:24 PM,Indicative 2018 Distributions Calendar,4
IHR,225.3KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942915,22/01/2018 2:11 PM,Pre-quotation disclosure statements,2
SCU,473.1KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942914,22/01/2018 2:02 PM,Cleansing Notice,1
SCU,695.8KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942913,22/01/2018 2:01 PM,Appendix 3B,12
SPQ,377.6KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942912,22/01/2018 1:59 PM,Appendix 3B,15
ZYB,2.1MB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942911,22/01/2018 1:59 PM,Director Appointment/Resignation,1
IHR,920.6KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942910,22/01/2018 1:54 PM,Full year audited accounts as at 30 June 2017,33
CHK,560.9KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942909,22/01/2018 1:54 PM,Clarification of Announcement dated 9 January 2018,1
IHR,887.6KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942908,22/01/2018 1:53 PM,Full year audited accounts as at 30 June 2016,29
IHR,785.0KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942907,22/01/2018 1:53 PM,Full year audited accounts as at 30 June 2015,27
ALR,92.4KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942906,22/01/2018 1:49 PM,December Monthly Factsheet,2
CIW,499.7KB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942905,22/01/2018 1:36 PM,Quarterly market update - Dec 2017,2
WHK,436.1KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942904,22/01/2018 1:33 PM,Restricted Securities Schedule,1
BRB,33.4KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942903,22/01/2018 1:28 PM,Research Note on Website,1
BYI,398.8KB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942902,22/01/2018 1:26 PM,Change of Director's Interest Notice,3
CVV,4.7MB,False,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942901,22/01/2018 1:23 PM,Investor Presentation,21
MTH,300.6KB,True,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=01942900,22/01/2018 1:22 PM,Quarterly Cash Flow Report December 2017,8
